Id,Purpose,TargetAmount,CurrentAmount,IsApproved,BorrowerId
1,"To buy seasonal, fresh fruits to sell. ",300,300,True,1
2,to repair and maintain the auto rickshaw used in their business.,575,575,True,2
3,To repair their old cycle-van and buy another one to rent out as a source of income,150,150,True,3
4,to purchase an embroidery machine and a variety of new embroidery materials.,200,200,True,4
5,to purchase one buffalo.,400,400,True,5
6,purchase leather for my business using ksh 20000.,250,250,True,6
7,To purchase a dairy cow and start a milk products business .,200,200,True,7
8,to buy more hair and skin care products.  ,400,400,True,8
9,"to purchase leather, plastic soles and heels in different sizes along with spools of thread.",475,475,True,9
10,"to buy a stall, gram flour, ketchup, and coal for selling ladoo.",625,625,True,10
11,to cover the cost of repairing rickshaw,200,200,True,11
12,"to purchase biscuits, sweets and juices in bulk.",400,400,True,12
13,"to buy stock of rice, sugar and flour .",400,400,True,13
14,to purchase variety of winter clothes to sell.,400,400,True,14
15,to expand her existing  poultry farm business.,225,225,True,15
16,to buy a three-wheeled rickshaw. ,300,300,True,16
17,"to buy packs of salts, biscuits and beverages.",400,400,True,17
18,"To buy a sewing machine, lace, zippers and buttons ",875,875,True,18
19,to purchase a sewing machine.,250,250,True,19
20,to buy more cosmetics products for her beauty parlor.,475,475,True,20
21,to buy ingredients to make bakery products. ,250,250,True,21
22,"to purchase vegetables, chicken, and oil to cook food to sell.",350,350,True,22
23,To buy winter clothing to sell,575,575,True,23
24,"to buy reels of threads in different colors and packs of beads, sequins and stones.",350,350,True,24
25,to purchase a variety of needed food items to prepare food to sell.,250,250,True,25
26,to purchase potato seeds and fertilizers for growing potatoes on her own land.,250,250,True,26
27,to purchase stones for starting a business supplying stones to building contractors.,250,250,True,27
28,to cover the cost of repairing rickshaw,475,475,True,28
29,to purchase potato seeds and fertilizers for growing potatoes.,125,125,True,29
30,to purchase potato seeds and fertilizer for farming potatoes.,250,250,True,30
31,to buy clothing to sell,250,250,True,31
32,to buy bundles of good quality paper along with packs of glue. ,400,400,True,32
33,"to buy packs of salt, biscuits, and beverages.",450,450,True,33
34,to cultivate broad beans on her own land.,250,250,True,34
35,to purchase one cow. ,400,400,True,35
36,to buy hair oils to sell.,2225,2225,True,36
37,"to purchase bamboo, nails and iron sheets",400,400,True,37
38,"to buy more spools of threads in different colors, packs of laces, zippers and buttons.",475,475,True,38
39,to buy different kinds of knives to sell,350,350,True,39
40,"to buy rice, sugar and flour in bulk.",475,475,True,40
41,to buy herbal medicines to sell in their herbal store.,250,250,True,41
42,"to purchase a new, bigger-size cart.",475,475,True,42
43,to purchase furniture for husband's academy.,200,200,True,43
44,To buy women's shoes to sell ,250,250,True,44
45,to buy new tires for her son's rickshaw. ,450,450,True,45
46,to purchase potato seeds and fertilizers for cultivating potatoes.,150,150,True,46
47,"to purchase sacks of tomatoes, potatoes, fruits, and green vegetables for resale",250,250,True,47
48,to purchase potato seeds and fertilizers for growing potatoes on her own land.,250,250,True,48
49,to invest in working capital and to maintain gym equipment.,600,600,True,49
50,to stock his store.,450,450,True,50
51,to buy meat and also to start selling fish in his butcher shop.,3175,3175,True,51
52,to buy piglets and feed,175,175,True,52
53,to purchase feed and vitamins for her pigs,175,175,True,53
54,to buy a cradle and household items for his youngest child. ,550,550,True,54
55,"to purchase various seasonal items to resell: vegetables, dried fish,...",225,225,True,55
56,"to buy additional items like eggs, charcoal, rice, Milo, shampoo, groceries, etc. to sell ",700,700,True,56
57,to purchase fertilizers and other farm supplies,575,575,True,57
58,"to purchase body lotions, hair oil, jewelery, chemicals and hair conditioners for resale.",250,250,True,58
59,to purchase cloth materials and sewing thread for her business.,250,250,True,59
60,to buy fabric to sell and materials to make bed sheets ,3175,3175,True,60
61,to purchase pigs to breed and resell when they gain weight,800,800,True,61
62,"to purchase more palm oil, bitter ball, pepper, and meat for her business.",150,150,True,62
63,to pay for the construction of a hygienic toilet and a hand-washing device with soap.		 		 		 		 		,4275,4275,True,63
64,To buy winter season clothing for resale. ,250,250,True,64
65,to purchase timber and zinc to build a new house,1500,1500,True,65
66,"to purchase sugar, coffee, coffee creamer, canned goods, cooking oil, breads, and beverages to sell.",325,325,True,66
67,"to purchase more rice, oil, soap, etc. for her business.",275,275,True,67
68,purchase solar lanterns for resale.,125,125,True,68
69,to buy more red oil for her business.,150,150,True,69
70,to pay for general maintenance on his vehicle.,1075,1075,True,70
